Model,Accuracy,Precision,Recall,F1 Score
Character TF-IDF + Linear SVM,0.9688888888888889,0.9690160798011266,0.9688888888888889,0.9656069734563193
Word TF-IDF + Linear SVM,0.95,0.9506026367245944,0.95,0.9443853275263802
Word TF-IDF + Logistic Regression,0.94,0.9367435631184676,0.94,0.9362498629747051
Word TF-IDF + Complement NB,0.8822222222222222,0.8870421564909619,0.8822222222222222,0.843698670655335
