Model,Accuracy,Precision,Recall,F1 Score
Word TF-IDF + Linear SVM,0.6522222222222223,0.652721372141901,0.6522222222222223,0.6524317409517774
Character TF-IDF + Linear SVM,0.6472222222222223,0.6463983501296934,0.6472222222222223,0.6467549880086655
Word TF-IDF + Logistic Regression,0.6455555555555555,0.6452420117555421,0.6455555555555555,0.6453590871913417
Word TF-IDF + Complement NB,0.6388888888888888,0.6366241689479661,0.6388888888888888,0.6355134099874781
